ID,choice2,age,female,edu,drur,inc_cont,region,nchildren,qual,qual_f,nit_sout_ar,pt,cost_m3,mcost_m3,cost_m3_na,prix_diff,price_tap,pesti_esout_rd_mod,nitrates_esout_rd_mod
28,2,20,0,4,0,1,8,1,3,3,34.92,0.965,-999,-999,2,5,1,26.41,23.299999
29,1,23,0,2,0,3.75,10,0,3,3,17.22,1.033,-999,-999,2,0,2,23.940001,6.8800001
30,1,20,1,4,0,1,1,0,2,1,23.74,1.32,-999,-999,2,0,0,24.809999,10.6
31,3,26,1,2,0,0.65,11,1,2,3,4.69,0.829,-999,-999,2,4,0,22.26,14.45
32,2,53,1,3,0,3.75,3,0,3,1,19.28,0.884,-999,-999,2,2,0,29.129999,20.51
33,2,42,0,5,0,3.75,9,0,3,1,4.91,1.347,-999,-999,2,3,2,10.23,7.1100001
34,1,74,1,1,0,1,1,0,3,2,5.56,1.037,-999,-999,2,4,2,2.9100001,4.73
35,1,21,1,4,0,1.9,7,0,3,2,0,0.66,-999,-999,2,4,1,0,0
36,2,19,1,3,0,1.35,6,3,2,3,22.76,1.078,-999,-999,2,0,0,31.370001,30.370001
37,1,48,0,2,0,1.9,2,2,3,1,10.04,1.51,6,0.0249528,1,5,2,7.9200001,9.6800003
38,1,53,1,4,0,1.9,7,0,1,3,0,0.66,-999,-999,2,0,2,0,0
39,3,69,0,2,1,2.65,3,0,3,2,23.04,0.884,-999,-999,2,2,2,29.129999,20.51
40,2,54,1,2,1,1.9,6,0,3,3,16.18,0.828,-999,-999,2,2,1,29.059999,24.33
41,2,21,0,4,0,0.25,10,0,3,3,17.69,0.745,-999,-999,2,5,1,29.17,17.41
42,1,29,1,4,0,3.75,10,1,3,1,25.9,0.677,-999,-999,2,4,2,28.76,12.06
43,2,24,1,5,0,0.25,2,1,3,2,22.78,0.969,20,14.0249528,1,1,1,28.09,23.299999
44,3,19,1,4,0,3.75,10,0,3,1,15.07,0.737,-999,-999,2,3,0,14.6,11.38
45,2,56,0,2,1,2.65,6,0,2,2,35.62,0.842,-999,-999,2,4,2,19.01,16.549999
46,1,22,1,4,0,1,10,0,2,3,3.23,0.645,3.400000095,-2.575047105,1,2,2,35.720001,30.1
47,2,71,0,2,0,2.65,7,0,3,2,14.23,0.729,-999,-999,2,0,0,27.43,22.82
48,3,57,0,1,0,1.9,6,0,3,1,16.55,0.842,4.079999924,-1.895047277,1,5,2,19.01,16.549999
49,1,65,0,4,0,3.75,1,0,2,1,14.68,1.041,4,-1.9750472,1,5,2,28.17,25
50,2,57,0,2,0,1,10,0,2,1,25.9,0.677,-999,-999,2,2,0,28.76,12.06
51,3,23,0,5,0,0.65,8,0,2,3,34.92,0.965,20,14.0249528,1,0,0,26.41,23.299999
52,2,68,1,2,0,1.35,8,0,2,3,21.36,0.981,2,-3.9750472,1,3,2,33.540001,19.190001
53,2,66,1,5,0,1,10,0,2,3,4.08,0.745,-999,-999,2,5,2,29.17,17.41
54,1,22,1,3,0,1,5,0,2,3,27.37,1.135,-999,-999,2,0,1,27.799999,20.030001
55,1,23,1,2,1,1.9,9,1,3,1,12.6,0.81,-999,-999,2,0,2,13.23,10.84
56,1,69,0,2,0,1.35,5,0,3,1,13.36,1.135,10,4.0249528,1,2,2,27.799999,20.030001
57,3,19,0,2,1,0.65,5,2,3,3,5.11,0.833,-999,-999,2,1,2,20.190001,13.89
58,2,23,1,4,0,1.35,5,0,3,3,8.51,0.833,-999,-999,2,0,0,20.190001,13.89
59,2,62,0,2,0,2.65,5,0,3,1,5.8,0.823,-999,-999,2,2,2,16.58,12.42
60,2,66,0,4,1,1.35,1,0,3,3,17.51,1.013,-999,-999,2,2,2,22.85,14.37
61,1,40,1,2,1,3.75,2,1,2,3,8.81,1.628,3.200000048,-2.775047153,1,4,1,12.43,12.48
62,3,70,1,4,1,2.65,8,0,3,1,15.84,0.965,2.529999971,-3.445047229,1,0,2,26.41,23.299999
63,2,22,0,2,0,1.35,7,0,3,2,11.17,0.744,-999,-999,2,3,1,30.530001,27.73
64,2,57,0,4,0,2.65,12,0,2,3,1.91,1.045,-999,-999,2,0,1,4.48,1.91
65,1,22,1,3,0,1.35,1,1,3,3,17.89,1.427,-999,-999,2,1,1,22.700001,15.03
66,2,53,0,2,0,1,10,2,3,3,8.91,0.588,-999,-999,2,3,1,16.690001,7.4200001
67,2,25,1,5,0,1,7,0,3,2,0,0.66,-999,-999,2,3,1,0,0
68,1,54,0,3,0,1.9,9,0,3,2,1.38,0.827,-999,-999,2,2,2,8.8299999,4.29
69,1,67,1,3,0,1.35,12,0,3,1,9.47,0.505,-999,-999,2,0,2,22.799999,15.08
70,3,72,1,4,0,3.75,12,0,3,2,6.51,0.707,-999,-999,2,3,0,17.540001,16.09
71,3,20,0,3,1,1.9,11,3,2,2,22.02,0.912,-999,-999,2,0,0,23.469999,22.690001
72,1,69,0,2,0,1.9,10,0,3,3,17.69,0.745,-999,-999,2,3,2,29.17,17.41
73,3,47,1,2,0,3.75,7,2,2,1,27.6,0.744,22,16.0249528,1,2,2,30.530001,27.73
74,2,34,1,4,0,3.75,9,1,3,1,7.28,1.115,-999,-999,2,1,0,8.4200001,6.1700001
75,2,74,0,4,0,1.9,12,0,3,1,4.07,0.878,-999,-999,2,4,0,17.290001,11.32
76,1,48,0,2,0,1,9,0,3,1,4.91,1.347,3,-2.9750472,1,2,2,10.23,7.1100001
77,1,33,0,3,0,1.9,12,0,1,2,9.47,0.505,-999,-999,2,0,0,22.799999,15.08
78,1,24,1,4,1,2.65,3,0,3,3,28.68,0.964,-999,-999,2,2,1,40.529999,24.610001
79,2,23,1,4,0,1.9,3,0,2,3,19.28,0.884,-999,-999,2,3,0,29.129999,20.51
80,2,69,1,2,0,1.9,4,0,3,3,28.22,0.75,3.220000029,-2.755047172,1,1,2,46.349998,21.540001
81,2,36,1,2,0,1.9,10,3,2,3,15.07,0.737,-999,-999,2,0,0,14.6,11.38
82,1,22,1,3,0,1.9,9,1,2,3,1.38,0.827,-999,-999,2,0,0,8.8299999,4.29
83,1,40,0,5,0,9.477,7,2,2,3,0,0.66,3,-2.9750472,1,5,2,0,0
84,1,21,1,4,0,0.65,9,0,2,3,1.38,0.827,-999,-999,2,0,0,8.8299999,4.29
85,1,69,0,3,0,2.65,5,0,3,3,27.37,1.135,-999,-999,2,3,1,27.799999,20.030001
86,2,58,0,3,1,1.9,4,0,2,3,28.7,0.755,-999,-999,2,0,2,38.209999,32.41
87,3,50,1,5,0,1,4,0,2,3,13.07,0.75,-999,-999,2,4,1,46.349998,21.540001
88,2,67,1,2,0,1.9,7,0,3,2,13.01,0.741,23,17.0249528,1,1,2,25.219999,23.059999
89,1,67,0,5,0,1.35,1,0,4,3,5.84,1.685,3,-2.9750472,1,5,1,7.8699999,5.7800002
90,1,59,1,2,0,1.35,10,0,2,3,25.9,0.677,-999,-999,2,0,2,28.76,12.06
91,1,24,1,2,1,1.9,5,1,3,3,5.11,0.833,-999,-999,2,1,2,20.190001,13.89
92,1,50,0,2,0,2.65,1,1,3,3,17.89,1.427,4,-1.9750472,1,4,2,22.700001,15.03
93,3,40,1,2,0,2.65,12,2,4,1,11.57,0.505,-999,-999,2,0,0,22.799999,15.08
94,2,21,0,4,0,1.9,7,0,3,3,20.6,0.729,-999,-999,2,0,1,27.43,22.82
95,2,46,1,2,0,1.9,11,2,2,1,30.75,0.892,-999,-999,2,0,2,23.43,15.19
96,3,43,1,3,0,2.65,5,1,3,2,34.09,0.772,-999,-999,2,3,1,33.709999,27.32
97,2,48,1,2,0,3.75,5,0,3,3,14.37,0.842,-999,-999,2,2,2,18.610001,14.49
98,3,43,1,2,0,1,12,1,3,3,9,0.505,-999,-999,2,0,2,22.799999,15.08
99,2,58,1,4,0,1,12,0,3,1,4.85,1.045,-999,-999,2,3,2,4.48,1.91
100,2,47,0,2,1,1.9,9,1,2,1,3.01,0.929,-999,-999,2,2,2,15.59,7.2199998
101,2,24,1,5,0,1.9,12,0,2,3,1.87,1.045,-999,-999,2,3,1,4.48,1.91
102,2,23,0,5,0,0.65,4,0,2,3,11.49,0.8,3,-2.9750472,1,5,2,31.23,17.32
103,2,30,1,4,0,3.75,6,0,2,3,22.76,1.078,2.799999952,-3.175047248,1,4,1,31.370001,30.370001
104,2,24,0,3,0,1.9,6,0,2,3,23.83,0.766,7,1.0249528,1,1,2,27.309999,25.73
105,3,23,1,5,0,1,10,0,3,2,15.07,0.737,-999,-999,2,1,0,14.6,11.38
106,1,65,1,2,0,1.9,7,0,4,3,0.7,0.649,-999,-999,2,4,2,0.15000001,0.27000001
107,1,35,0,4,0,1.35,9,0,3,3,15.79,1.095,-999,-999,2,2,1,19.66,11.69
108,1,22,0,4,0,1,8,0,2,3,34.92,0.965,-999,-999,2,4,0,26.41,23.299999
109,2,45,0,2,1,1.35,2,2,2,3,18.67,0.969,-999,-999,2,0,2,28.09,23.299999
110,2,45,1,3,0,1,3,2,3,3,26.41,1.066,-999,-999,2,5,2,32.470001,22.16
111,2,32,1,4,1,0.65,2,1,2,3,24.32,0.969,4,-1.9750472,1,3,1,28.09,23.299999
112,2,34,1,4,0,1.9,12,0,3,3,4.85,1.045,-999,-999,2,0,0,4.48,1.91
113,2,34,1,4,0,2.65,4,4,2,2,23.54,0.75,-999,-999,2,1,1,46.349998,21.540001
114,1,34,1,3,0,1,7,2,3,3,18.85,0.685,-999,-999,2,0,0,18.280001,18.85
115,2,68,1,5,0,3.75,5,0,3,3,10.92,1.234,-999,-999,2,2,2,12,9.6700001
116,2,66,1,3,1,1.9,6,0,3,2,9.2,0.842,-999,-999,2,2,2,19.01,16.549999
117,3,45,0,2,1,3.75,11,2,2,1,18.2,0.829,-999,-999,2,1,1,22.26,14.45
118,1,24,0,2,0,0.65,6,0,2,1,26.51,0.864,-999,-999,2,2,0,30.52,27.1
119,1,38,1,3,1,1.9,5,2,2,2,28.51,0.803,9,3.0249528,1,5,2,35.459999,31.74
120,1,25,1,2,0,1.9,10,0,2,1,12.17,0.93,-999,-999,2,1,2,10.23,10.3
121,3,60,1,2,0,2.65,1,0,3,3,15.06,0.925,-999,-999,2,2,2,12.25,14.98
122,3,41,1,3,1,2.65,8,2,2,3,21.69,0.981,2.5,-3.4750472,1,2,2,33.540001,19.190001
123,3,41,0,2,1,3.75,1,2,2,3,7.2,1.013,6,0.0249528,1,5,2,22.85,14.37
124,3,18,1,3,0,1.9,1,0,3,2,6.54,1.32,2.299999952,-3.675047248,1,3,2,24.809999,10.6
125,3,40,0,2,0,2.65,1,2,3,1,13.34,0.925,-999,-999,2,3,2,12.25,14.98
126,2,70,1,4,0,6,7,1,2,2,11.17,0.744,-999,-999,2,2,2,30.530001,27.73
127,1,77,0,2,0,1.35,10,0,3,1,5.91,0.737,2.799999952,-3.175047248,1,0,1,14.6,11.38
128,2,29,0,2,1,1.9,3,0,1,3,31.89,0.964,3,-2.9750472,1,5,2,40.529999,24.610001
129,1,77,1,3,0,3.75,3,0,3,3,20.15,1.066,-999,-999,2,0,2,32.470001,22.16
130,1,55,1,2,0,1,10,0,2,3,25.9,0.677,3.539999962,-2.435047238,1,1,2,28.76,12.06
131,2,40,0,3,0,2.65,6,1,2,1,15.5,0.842,-999,-999,2,0,2,19.01,16.549999
132,1,67,0,2,0,1.9,1,0,2,2,17.51,1.013,-999,-999,2,0,2,22.85,14.37
133,2,41,1,2,1,3.75,5,2,2,1,28.1,0.772,-999,-999,2,2,2,33.709999,27.32
134,2,43,1,4,0,2.65,7,0,3,3,14.23,0.729,-999,-999,2,2,0,27.43,22.82
135,1,67,0,2,0,1.35,10,0,3,1,15.07,0.737,22,16.0249528,1,4,2,14.6,11.38
136,3,20,1,2,0,0.65,5,0,2,1,8.51,0.833,-999,-999,2,2,0,20.190001,13.89
137,2,42,1,2,0,1.35,8,2,3,1,35,1.034,0.50999999,-5.46504721,1,2,2,24.35,26.41
138,3,54,0,2,0,2.65,12,2,3,1,9,0.505,15,9.0249528,1,5,1,22.799999,15.08
139,1,22,1,4,0,2.65,3,1,3,2,49.57,1.245,-999,-999,2,2,2,42,26.58
140,3,23,0,4,1,1,5,0,2,2,14.62,1.041,-999,-999,2,2,1,22.18,20.17
141,1,25,1,5,0,6,7,0,3,1,0,0.66,-999,-999,2,3,1,0,0
142,1,34,1,5,1,1.9,3,1,2,3,20.15,1.066,-999,-999,2,2,0,32.470001,22.16
143,3,53,1,4,0,6,7,0,3,2,0,0.66,3.109999895,-2.865047305,1,5,2,0,0
144,2,58,0,1,0,1.9,6,0,3,1,23.83,0.766,-999,-999,2,2,2,27.309999,25.73
145,2,57,1,3,0,0.25,2,1,2,3,7.26,1.628,2,-3.9750472,1,2,1,12.43,12.48
146,3,76,1,3,1,1.9,9,0,3,3,3.01,0.929,5,-0.9750472,1,2,2,15.59,7.2199998
147,1,52,1,2,1,3.75,6,0,3,1,25.55,0.828,20,14.0249528,1,3,1,29.059999,24.33
148,2,25,1,3,0,0.65,10,1,3,3,22.56,0.677,-999,-999,2,2,1,28.76,12.06
149,2,85,0,5,0,3.75,7,0,3,3,0,0.66,-999,-999,2,0,0,0,0
150,3,29,1,3,0,1.9,6,1,2,1,15.5,0.842,3,-2.9750472,1,3,2,19.01,16.549999
151,1,25,1,4,0,2.65,12,0,3,1,9,0.505,1,-4.9750472,1,3,1,22.799999,15.08
152,1,19,0,4,0,1.35,9,0,3,3,62.81,0.805,-999,-999,2,3,0,25.74,25.879999
153,1,20,1,3,0,0.25,11,0,1,3,11.35,0.912,-999,-999,2,5,0,20.290001,17.41
154,2,21,1,4,0,1.35,10,0,3,2,6.06,0.631,4,-1.9750472,1,2,2,5.8899999,6.96
155,1,52,0,4,0,1.9,10,0,3,3,15.07,0.737,3,-2.9750472,1,4,2,14.6,11.38
156,3,39,0,2,0,2.65,12,1,3,3,9.47,0.505,3,-2.9750472,1,3,2,22.799999,15.08
157,1,20,1,4,0,3.75,12,0,3,3,9,0.505,-999,-999,2,3,0,22.799999,15.08
158,1,26,1,2,0,1,12,0,2,3,6.51,0.707,-999,-999,2,3,2,17.540001,16.09
159,1,41,0,5,0,6,7,0,3,3,0,0.66,-999,-999,2,5,1,0,0
160,2,42,1,5,0,1.9,6,0,3,3,27.51,0.842,-999,-999,2,2,1,19.01,16.549999
161,1,35,1,4,0,2.65,11,2,3,2,30.75,0.892,-999,-999,2,2,0,23.43,15.19
162,2,68,1,5,0,3.75,12,0,3,2,7.55,0.707,-999,-999,2,0,2,17.540001,16.09
163,1,53,0,4,0,6,1,1,3,3,7.2,1.013,2,-3.9750472,1,5,1,22.85,14.37
164,1,46,0,2,0,3.75,1,1,3,3,21.29,1.32,1,-4.9750472,1,5,1,24.809999,10.6
165,3,42,0,2,1,2.65,9,2,3,3,16.24,0.805,65,59.0249528,1,4,2,25.74,25.879999
166,3,34,1,4,1,1.9,4,0,3,3,28.7,0.755,-999,-999,2,0,2,38.209999,32.41
167,2,28,0,4,0,2.65,3,1,3,3,26.41,1.066,-999,-999,2,2,2,32.470001,22.16
168,1,25,1,2,0,0.65,11,1,3,3,4.69,0.829,-999,-999,2,2,1,22.26,14.45
169,2,46,1,4,0,1.9,6,1,3,3,15.5,0.842,-999,-999,2,5,2,19.01,16.549999
170,1,25,1,5,0,0.25,7,0,2,3,0,0.66,-999,-999,2,3,1,0,0
171,2,60,1,2,0,0.25,7,0,3,1,0.27,0.649,-999,-999,2,2,2,0.15000001,0.27000001
172,1,50,0,3,0,3.75,1,1,2,3,17.89,1.427,10,4.0249528,1,5,2,22.700001,15.03
173,1,78,0,2,0,1.9,10,0,3,2,17.69,0.745,-999,-999,2,4,0,29.17,17.41
174,2,50,0,3,1,1.9,6,0,2,3,29.28,0.864,-999,-999,2,2,2,30.52,27.1
175,2,24,0,4,0,0.65,11,0,3,3,22.02,0.912,-999,-999,2,3,2,23.469999,22.690001
176,2,34,1,3,0,1.9,3,2,3,3,49.57,1.245,-999,-999,2,0,2,42,26.58
177,2,34,1,4,1,2.65,9,2,3,2,19.72,0.867,-999,-999,2,0,2,22.559999,24.99
178,3,45,0,4,0,1.35,9,1,2,1,62.81,0.805,0.090000004,-5.885047197,1,2,2,25.74,25.879999
179,1,40,1,4,0,3.75,12,3,3,1,9,0.505,2,-3.9750472,1,0,1,22.799999,15.08
180,1,21,1,3,0,0.65,1,0,2,3,14.38,0.932,-999,-999,2,0,2,21.83,7.8200002
181,2,20,0,2,0,2.65,5,1,2,3,10.92,1.234,2,-3.9750472,1,1,2,12,9.6700001
182,3,35,0,3,0,3.75,11,2,3,3,8.76,0.829,2.5,-3.4750472,1,0,2,22.26,14.45
183,2,50,0,4,0,6,3,1,2,1,22.47,0.964,6,0.0249528,1,5,2,40.529999,24.610001
184,3,59,0,4,0,1.9,4,0,3,3,30.77,0.755,-999,-999,2,3,2,38.209999,32.41
185,1,58,0,5,0,3.75,2,0,3,3,7.26,1.628,5,-0.9750472,1,4,1,12.43,12.48
186,2,22,1,5,0,1.9,7,0,2,3,14.23,0.729,0.5,-5.4750472,1,3,1,27.43,22.82
187,2,55,1,3,1,1.9,9,0,1,3,5.78,0.711,-999,-999,2,0,2,4,2.8699999
188,3,23,0,4,0,1.9,5,0,2,3,13.18,0.842,-999,-999,2,2,2,18.610001,14.49
189,2,77,0,5,1,6,7,0,3,1,20.6,0.729,-999,-999,2,0,2,27.43,22.82
190,1,59,0,2,0,1.9,12,0,3,1,18.17,0.878,-999,-999,2,1,2,17.290001,11.32
191,3,42,0,2,1,1.35,9,1,3,1,5.19,0.929,-999,-999,2,4,2,15.59,7.2199998
192,2,76,0,5,0,3.75,5,0,3,1,8.51,0.833,15,9.0249528,1,3,1,20.190001,13.89
193,1,88,0,5,0,6,12,0,3,2,18.17,0.878,3.799999952,-2.175047248,1,3,2,17.290001,11.32
194,3,84,1,2,0,3.75,4,0,3,1,12.53,0.798,-999,-999,2,2,1,13.81,10.63
195,2,75,0,5,1,3.75,10,0,3,2,12.75,0.791,5,-0.9750472,1,5,1,14.43,12.28
196,2,44,1,2,0,1.9,12,2,3,3,9.47,0.505,-999,-999,2,0,1,22.799999,15.08
197,1,49,0,4,0,2.65,10,2,3,1,8.91,0.588,-999,-999,2,0,2,16.690001,7.4200001
198,2,23,1,4,1,0.25,6,0,2,3,9.2,0.842,-999,-999,2,5,1,19.01,16.549999
199,2,60,1,2,0,2.65,9,1,2,3,8.81,1.347,-999,-999,2,2,2,10.23,7.1100001
200,2,35,1,2,1,1.9,8,3,2,1,22.17,1.034,2,-3.9750472,1,1,1,24.35,26.41
201,1,81,1,2,0,1,7,0,2,3,0.64,0.69,-999,-999,2,5,2,19.459999,15.32
202,2,33,0,4,1,3.75,6,2,3,3,23.83,0.766,1.120000005,-4.855047195,1,4,1,27.309999,25.73
203,2,54,0,2,0,1,5,0,2,3,8.51,0.833,3.079999924,-2.895047277,1,0,2,20.190001,13.89
204,2,35,1,5,0,3.75,5,2,3,2,34.09,0.772,3,-2.9750472,1,3,1,33.709999,27.32
205,3,52,1,2,0,1.35,8,0,3,2,22.17,1.034,-999,-999,2,2,2,24.35,26.41
206,2,82,0,5,0,2.65,11,0,3,3,27.55,0.892,2,-3.9750472,1,5,2,23.43,15.19
207,1,19,1,3,0,1.35,11,1,2,3,32.84,0.912,1.5,-4.4750472,1,2,0,23.469999,22.690001
208,3,61,0,1,0,1,3,0,2,1,21.53,0.884,-999,-999,2,3,1,29.129999,20.51
209,2,35,0,3,1,1.9,5,0,3,2,23.39,0.833,-999,-999,2,2,0,20.190001,13.89
210,2,19,0,4,0,3.75,3,1,3,2,22.47,0.964,2,-3.9750472,1,4,0,40.529999,24.610001
211,1,44,1,4,0,6,7,3,3,3,14.23,0.729,-999,-999,2,5,1,27.43,22.82
212,2,29,0,3,0,1.35,1,0,3,1,3.78,1.47,-999,-999,2,1,0,6.77,2.5
213,1,53,1,4,0,1.9,1,1,2,2,17.51,1.013,-999,-999,2,5,1,22.85,14.37
214,1,32,1,2,0,1.9,2,1,3,3,22.78,0.969,19,13.0249528,1,2,1,28.09,23.299999
215,1,83,0,3,0,3.75,1,0,3,1,21.4,1.041,-999,-999,2,3,2,28.17,25
216,2,49,0,4,0,2.65,1,2,3,3,21.29,1.32,3.299999952,-2.675047248,1,0,2,24.809999,10.6
217,3,18,0,2,1,2.65,5,1,4,3,28,0.772,-999,-999,2,2,1,33.709999,27.32
218,2,24,1,3,1,2.65,9,0,3,3,26.8,0.867,-999,-999,2,1,0,22.559999,24.99
219,1,35,1,4,0,1.9,11,0,3,2,27.55,0.892,-999,-999,2,0,2,23.43,15.19
220,3,24,0,2,0,2.65,7,1,3,3,16.45,0.729,2,-3.9750472,1,1,1,27.43,22.82
221,3,25,1,5,0,3.75,7,0,2,3,18.79,0.69,-999,-999,2,0,0,19.459999,15.32
222,2,56,0,2,0,2.65,9,0,3,1,5.19,0.929,-999,-999,2,2,1,15.59,7.2199998
223,1,55,0,4,0,3.75,6,0,3,2,23.87,0.842,-999,-999,2,5,2,19.01,16.549999
224,2,57,0,2,0,2.65,7,0,3,2,0,0.66,-999,-999,2,3,1,0,0
225,1,38,0,2,0,2.65,10,2,3,3,3.48,0.588,6,0.0249528,1,3,2,16.690001,7.4200001
226,2,29,0,4,0,0.25,4,0,2,3,39.14,0.715,-999,-999,2,4,2,40.240002,39.849998
227,3,61,0,2,0,3.75,11,0,3,1,8.76,0.829,5,-0.9750472,1,5,2,22.26,14.45
228,1,46,1,4,0,3.75,12,1,2,3,4.07,0.878,2,-3.9750472,1,5,2,17.290001,11.32
229,2,23,1,4,0,3.75,1,0,2,3,21.4,1.041,-999,-999,2,2,1,28.17,25
230,2,21,0,3,1,6,3,0,1,1,23.04,0.884,3,-2.9750472,1,3,2,29.129999,20.51
231,2,21,1,2,0,0.25,7,0,2,3,0.99,0.741,-999,-999,2,0,0,21.08679933,0.5
232,2,49,0,2,0,1.35,12,0,3,2,7.4,0.949,-999,-999,2,0,2,20.5,4.9699998
233,2,50,1,3,0,2.65,1,0,3,3,5.16,1.427,17,11.0249528,1,0,1,22.700001,15.03
234,2,37,1,5,0,2.65,7,2,3,3,0.64,0.69,1.5,-4.4750472,1,3,1,19.459999,15.32
235,2,38,1,4,0,0.65,7,2,3,3,13.01,0.741,12,6.0249528,1,4,1,25.219999,23.059999
236,2,63,0,2,0,0.25,6,0,3,3,15.5,0.842,5,-0.9750472,1,4,2,19.01,16.549999
237,3,59,1,2,0,1.9,5,0,3,3,11.35,0.823,7.5,1.5249528,1,0,2,16.58,12.42
238,3,23,1,4,1,1,11,0,2,3,21.48,0.912,-999,-999,2,0,1,23.469999,22.690001
239,1,42,0,4,0,1.9,7,2,4,2,18.85,0.685,-999,-999,2,2,2,18.280001,18.85
240,3,23,0,5,0,1,9,0,2,1,1.38,0.827,-999,-999,2,3,0,8.8299999,4.29
241,3,76,0,3,1,2.65,3,0,3,3,16.62,1.245,10,4.0249528,1,3,2,42,26.58
242,2,53,1,2,0,3.75,11,0,3,1,12.28,0.829,0.400000006,-5.575047194,1,3,2,22.26,14.45
243,2,53,1,1,1,1.9,2,0,3,3,24.32,0.969,-999,-999,2,0,1,28.09,23.299999
244,2,48,1,2,1,1.35,11,0,2,2,27.07,1.001,-999,-999,2,0,2,30.549999,30.940001
245,1,25,0,4,0,0.25,12,0,3,3,2.54,1.08,3,-2.9750472,1,4,2,2.1700001,1.6799999
246,1,42,0,4,0,6,1,2,4,3,5.84,1.685,4,-1.9750472,1,5,1,7.8699999,5.7800002
247,2,24,1,4,0,1.9,9,0,2,3,12.09,1.095,-999,-999,2,2,2,19.66,11.69
248,3,22,1,4,0,1,5,0,3,3,14.37,0.842,-999,-999,2,0,1,18.610001,14.49
249,2,46,0,4,1,3.75,5,0,3,1,7.29,1.135,3,-2.9750472,1,5,1,27.799999,20.030001
250,1,79,1,4,0,2.65,12,0,3,1,1.91,1.045,4,-1.9750472,1,4,1,4.48,1.91
251,2,52,1,4,0,3.75,4,0,3,1,27.28,0.784,-999,-999,2,0,2,34.060001,22.43
252,2,22,1,4,0,3.75,7,0,2,3,0.99,0.741,-999,-999,2,4,0,21.08679933,0.5
253,2,25,1,4,0,1.35,3,0,3,3,23.78,1.066,-999,-999,2,0,2,32.470001,22.16
254,3,25,1,5,0,1.9,7,0,3,3,0,0.66,-999,-999,2,2,1,0,0
255,1,28,0,5,1,1.9,8,0,3,1,15.21,1.13,-999,-999,2,3,1,27.639999,20.98
256,2,22,0,3,0,1.35,9,0,4,2,12.09,1.095,-999,-999,2,2,1,19.66,11.69
