ID,choice2,age,female,edu,drur,inc_cont,region,nchildren,qual,qual_f,nit_sout_ar,pt,cost_m3,mcost_m3,cost_m3_na,prix_diff,price_tap,pesti_esout_rd_mod,nitrates_esout_rd_mod
1,3,56,1,3,0,1.9,7,1,3,1,0.7,0.649,14,8.0249528,1,2,2,0.15000001,0.27000001
2,2,68,0,3,0,3.75,6,0,2,3,26.89,1.078,-999,-999,2,0,2,31.370001,30.370001
3,1,66,0,4,0,1.9,7,0,3,1,0.5,0.741,3.700000048,-2.275047153,1,5,2,0,0.5
4,2,69,1,3,1,1.9,9,0,3,3,12.09,1.095,1.200000048,-4.775047153,1,0,2,19.66,11.69
5,3,45,1,4,0,9.477,2,2,3,3,13.04,1.06,-999,-999,2,3,2,21.049999,17.9
6,3,55,0,4,0,3.75,12,2,3,1,18.17,0.878,3,-2.9750472,1,5,2,17.290001,11.32
7,1,65,1,2,0,3.75,10,0,3,1,15.56,0.664,3.700000048,-2.275047153,1,5,2,24.360001,16.790001
8,3,47,0,2,0,3.75,12,0,3,1,1.87,1.045,4.21999979,-1.75504741,1,5,1,4.48,1.91
9,2,50,0,4,0,3.75,10,1,3,3,17.69,0.745,-999,-999,2,4,2,29.17,17.41
10,1,45,0,2,1,0.65,1,0,3,3,5.57,0.932,8,2.0249528,1,0,2,21.83,7.8200002
11,2,66,0,5,0,3.75,9,0,2,3,62.81,0.805,3,-2.9750472,1,5,1,25.74,25.879999
12,2,62,0,2,1,3.75,7,0,3,2,27.3,0.729,5,-0.9750472,1,5,2,27.43,22.82
13,1,72,1,2,0,2.65,1,0,2,2,21.4,1.041,-999,-999,2,0,2,28.17,25
14,3,49,0,2,1,2.65,7,2,2,3,27.6,0.744,6,0.0249528,1,0,2,30.530001,27.73
15,1,66,0,3,0,3.75,7,0,3,1,0,0.66,-999,-999,2,4,1,0,0
16,2,35,1,4,0,3.75,7,2,2,2,18.79,0.69,-999,-999,2,1,2,19.459999,15.32
17,3,76,0,5,0,2.65,12,0,3,3,10.47,0.505,-999,-999,2,3,0,22.799999,15.08
18,1,68,0,4,0,3.75,10,0,3,2,6.06,0.631,-999,-999,2,5,2,5.8899999,6.96
19,2,66,1,3,0,2.65,1,0,3,1,23.74,1.32,2,-3.9750472,1,5,2,24.809999,10.6
20,3,70,0,2,0,2.65,7,0,2,1,0.5,0.741,3,-2.9750472,1,0,2,0,0.5
21,3,25,1,4,0,2.65,7,0,3,1,0.7,0.649,10,4.0249528,1,4,2,0.15000001,0.27000001
22,1,62,0,5,0,3.75,6,0,2,1,15.43,1.078,20,14.0249528,1,5,2,31.370001,30.370001
23,3,32,0,4,0,1.35,3,0,3,1,26.41,1.066,-999,-999,2,2,2,32.470001,22.16
24,2,30,1,3,1,2.65,4,0,2,1,23.54,0.75,-999,-999,2,0,2,46.349998,21.540001
25,1,26,1,4,1,1.35,1,0,3,3,5.84,1.685,-999,-999,2,0,0,7.8699999,5.7800002
26,1,21,1,3,1,2.65,10,0,3,2,13.11,0.791,1.5,-4.4750472,1,0,0,14.43,12.28
27,3,46,1,2,0,1.9,3,3,2,2,49.57,1.245,-999,-999,2,1,2,42,26.58
